epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.235610371863842,0.92455,0.12927184331417083,0.9592,9.990133642141359e-05
2,0.14197195908129215,0.9456,0.11029533677101135,0.961,9.96057350657239e-05
3,0.12044311579465866,0.9525,0.09748194836378098,0.965,9.911436253643444e-05
4,0.11754414026737213,0.95315,0.09703681463003158,0.9636,9.842915805643155e-05
5,0.11147907927781343,0.9559,0.0925410383939743,0.965,9.755282581475769e-05
6,0.10732223900929093,0.9571,0.08915655298233033,0.9658,9.648882429441257e-05
7,0.10673010087609291,0.957,0.09398267427682877,0.964,9.524135262330098e-05
8,0.10802542634159326,0.95725,0.0865666352212429,0.9662,9.381533400219317e-05
9,0.10858876645117999,0.9568,0.08435828107595443,0.9668,9.221639627510075e-05
10,0.10548950201570988,0.9566,0.08366568584442138,0.9668,9.045084971874735e-05
11,0.09872864848226309,0.96085,0.08444376321434975,0.966,8.852566213878945e-05
12,0.10198331079483032,0.95935,0.08326006032824516,0.9678,8.644843137107056e-05
13,0.1045134899944067,0.9581,0.08544904072880745,0.966,8.422735529643442e-05
14,0.09684152699261904,0.9627,0.08742508845925331,0.9654,8.187119948743447e-05
15,0.09979375551939011,0.961,0.0843713385462761,0.9672,7.938926261462366e-05
16,0.09582006092891097,0.9626,0.08151271066069603,0.9684,7.679133974894982e-05
17,0.09831167550906539,0.96255,0.08292279534339905,0.9678,7.408768370508575e-05
18,0.0935405659839511,0.963,0.08193047213554382,0.9666,7.128896457825361e-05
19,0.09749147297888994,0.9608,0.0833007965862751,0.9672,6.840622763423389e-05
20,0.09596546536162495,0.9616,0.08134991680979729,0.9684,6.545084971874736e-05
21,0.09645954688191413,0.9619,0.08251623721122742,0.9668,6.243449435824272e-05
22,0.0953350154235959,0.9612,0.08128979862332344,0.9668,5.9369065729286224e-05
23,0.09451884563043714,0.9628,0.08036175386309624,0.9676,5.626666167821521e-05
24,0.09556271484866738,0.96205,0.08284205741286278,0.9676,5.3139525976465657e-05
25,0.09522277937233448,0.96235,0.08158617648482323,0.9672,4.999999999999998e-05
26,0.09431142823472619,0.9631,0.08016060549020768,0.9682,4.6860474023534314e-05
27,0.09203836437612772,0.96425,0.08101026808619499,0.9686,4.3733338321784775e-05
28,0.09388659099265934,0.96135,0.08368174090981484,0.9686,4.063093427071375e-05
29,0.09366723994091153,0.9635,0.08203911137580872,0.9684,3.756550564175724e-05
30,0.09500685483217239,0.96045,0.08112008600234985,0.9676,3.454915028125263e-05
31,0.0934679605178535,0.9624,0.08261353768110276,0.9668,3.1593772365766105e-05
32,0.09446160418353974,0.96285,0.08580010318160057,0.9682,2.8711035421746357e-05
33,0.09123477805256844,0.9638,0.07821264202594758,0.9702,2.591231629491422e-05
34,0.09306613816320897,0.962,0.07996980164647102,0.9684,2.3208660251050148e-05
35,0.0931598819077015,0.96295,0.0815717242360115,0.9694,2.061073738537634e-05
36,0.09269807814732194,0.96375,0.08283573423027993,0.9668,1.8128800512565503e-05
37,0.09536124324202537,0.9613,0.08585161545872688,0.967,1.5772644703565555e-05
38,0.08961954093575478,0.96505,0.08196109770536422,0.9688,1.3551568628929426e-05
39,0.09043181800544262,0.96425,0.08045964715480805,0.9686,1.1474337861210536e-05
40,0.09474692226871848,0.96,0.0786806577026844,0.9684,9.549150281252626e-06
41,0.09204849364832043,0.9626,0.08496099653244019,0.9674,7.783603724899252e-06
42,0.08922486717030406,0.96565,0.07927107573747635,0.9692,6.184665997806817e-06
43,0.09063969516456127,0.9638,0.08111274040341378,0.9692,4.75864737669903e-06
44,0.0912369059972465,0.9642,0.08258633853197098,0.9672,3.5111757055874303e-06
45,0.09156302203685045,0.9643,0.0804086432814598,0.9688,2.4471741852423216e-06
46,0.094182931740582,0.96215,0.08040930273532867,0.9694,1.5708419435684504e-06
47,0.0903697274260223,0.96475,0.0798581557571888,0.9674,8.856374635655631e-07
48,0.09296424948573112,0.96285,0.08069148098230362,0.968,3.942649342761114e-07
49,0.09399532488770783,0.9624,0.07967185716629029,0.9688,9.866357858642197e-08
50,0.08899212334603071,0.9648,0.07979806866049767,0.9678,0.0
